STA,Borough
FIRST AVE,Manhattan
SECOND AVE,Manhattan
THIRD  AVE,Manhattan
THIRD AVE–138 ST,The Bronx
THIRD  AVE–149 ST,The Bronx
FOURTH AVE/NIN ST,Brooklyn
FIFTH AVE/53  ST,Manhattan
FIFTH AVE–59 ST,Manhattan
SEVEN AVE,Manhattan
SEVEN AVE,Brooklyn
EIGH AVE,Brooklyn
EIGH ST–NEW YORK UNIVERSITY,Manhattan
NIN AVE,Brooklyn
14 ST/SIX AVE,Manhattan
14 ST/EIGH AVE†,Manhattan
14 ST–UNION SQUARE,Manhattan
15 ST–PROSPECT PARK,Brooklyn
18 AVE,Brooklyn
18 ST,Manhattan
20 AVE,Brooklyn
21 ST,Queens
21 ST–QUEENSBRIDGE,Queens
23  ST,Manhattan
25 AVE,Brooklyn
25 ST,Brooklyn
28 ST,Manhattan
30 AVE,Queens
33  ST,Manhattan
33  ST–RAWSON ST,Queens
34 ST–HERALD SQUARE,Manhattan
34 ST–HUDSON YA S†,Manhattan
34 ST–PENN STA,Manhattan
36 AVE,Queens
36 ST,Brooklyn
36 ST,Queens
39 AVE,Queens
40 ST–LOWERY ST,Queens
42ND ST–BRYANT PARK/FIF AVE,Manhattan
45 ST,Brooklyn
46 ST,Queens
46 ST–BLISS ST,Queens
47TH–50 STS–ROCKEFELLER CENTER,Manhattan
49 ST,Manhattan
50 ST,Manhattan
50 ST,Brooklyn
52ND ST,Queens
53  ST,Brooklyn
55 ST,Brooklyn
57 ST,Manhattan
57 ST–SEVEN AVE,Manhattan
59 ST,Brooklyn
59 ST–COLUMBUS CIRCLE,Manhattan
61 ST–WOODSIDE,Queens
62ND ST/NEW UTRECHT AVE,Brooklyn
63  DRIVE–REGO PARK,Queens
65 ST,Queens
66 ST–LINCOLN CENTER,Manhattan
67 AVE,Queens
68 ST–HUNTER COLLEGE,Manhattan
69 ST,Queens
71 ST,Brooklyn
72ND ST,Manhattan
75 AVE,Queens
75 ST–ELDERTS LANE,Queens
77 ST,Brooklyn
77 ST,Manhattan
79 ST,Manhattan
79 ST,Brooklyn
80 ST,Queens
81 ST–MUSEUM OF NATURAL HISTORY,Manhattan
82ND ST–JACKSON HEIGHTS,Queens
85 ST–FORE PARKWAY,Queens
86 ST,Manhattan
86 ST,Brooklyn
88 ST,Queens
90 ST–ELMHUR AVE,Queens
96 ST†,Manhattan
96 ST,Manhattan
103  ST,Manhattan
103  ST–CORONA PLAZA,Queens
104 ST,Queens
110 ST,Manhattan
111 ST,Queens
116 ST,Manhattan
116 ST–COLUMBIA UNIVERSITY,Manhattan
121 ST,Queens
125 ST,Manhattan
135 ST,Manhattan
137 ST–CITY COLLEGE,Manhattan
138 ST–GRAND CONCOURSE,The Bronx
145 ST†,Manhattan
145 ST,Manhattan
149 ST–GRAND CONCOURSE,The Bronx
155 ST,Manhattan
157 ST,Manhattan
161 ST–YANKEE STADIUM,The Bronx
163  ST–AMSTE AM AVE,Manhattan
167 ST,The Bronx
168 ST†,Manhattan
169 ST,Queens
170 ST,The Bronx
174 ST,The Bronx
174TH–175 STS,The Bronx
175 ST,Manhattan
176 ST,The Bronx
181 ST,Manhattan
182ND–183  STS,The Bronx
183  ST,The Bronx
190 ST,Manhattan
191 ST,Manhattan
207 ST,Manhattan
215 ST,Manhattan
219 ST,The Bronx
225 ST,The Bronx
231 ST,The Bronx
233  ST,The Bronx
238 ST,The Bronx
ALABAMA AVE,Brooklyn
ALLERTON AVE,The Bronx
AQUEDUCT RACETRACK,Queens
AQUEDUCT–NOR CONDUIT AVE,Queens
ASTOR PL,Manhattan
ASTORIA BOULEVA ,Queens
ASTORIA–DITMARS BOULEVA †,Queens
ATLANTIC AVE,Brooklyn
ATLANTIC AVE–BARCLAYS CENTER,Brooklyn
AVE H,Brooklyn
AVE I,Brooklyn
AVE J,Brooklyn
AVE M,Brooklyn
AVE N,Brooklyn
AVE P,Brooklyn
AVE U,Brooklyn
AVE X,Brooklyn
BAY 50 ST,Brooklyn
